Suburb,Crashes Since 2020,Population (2021 Census),Mobile,DDS,Fixed,Total,Median_Personal_Inc_Weekly,Gender_Ratio_M_F,Vehicles_0,Vehicles_1,Vehicles_2,Vehicles_3,Vehicles_4plus,Total_Vehicles,Percentage no vehicle,Lab_Force_Participation_Pct,Top_Non_AU_Ancestry_Pct,Tram Stops,V-Line Train,Bus Routes,Bus Stops.1,Metro Train,Train Lines,lgaregion,Cameras_Per_1000,Schools_Total,Schools_Govt,Schools_Primary,Schools_Secondary
HARKNESS,64.0,12463.0,1.0,0.0,0.0,1.0,789.0,0.9478,92.0,1143.0,1677.0,525.0,285.0,3716.0,2.5,64.8000030517578,24.2,0.0,0.0,2.0,33.0,,,Macedon Ranges,0.08,1,1,1,0
NANGANA,0.0,54.0,1.0,0.0,0.0,1.0,725.0,1.0385,0.0,5.0,3.0,8.0,7.0,17.0,0.0,60.5,55.6,0.0,0.0,0.0,0.0,,,Cardinia,18.52,0,0,0,0
NATIMUK,3.0,548.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,West Wimmera,,1,1,1,0
PRINCES FREEWAY POINT COOK,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0,0,0,0
PRINCES FREEWAY WILLIAMS LANDING,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0,0,0,0
VERMONT,28.0,10993.0,1.0,0.0,1.0,2.0,797.0,0.9587,119.0,1235.0,1793.0,429.0,198.0,3779.0,3.1,63.0999984741211,25.7,0.0,0.0,5.0,50.0,,,Maroondah,0.18,4,2,3,1
WESTERN RING ROAD DEER PARK,0.0,,0.0,0.0,1.0,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0,0,0,0
WESTERN RING ROAD KEILOR EAST,0.0,,0.0,0.0,1.0,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0,0,0,0
YELLINGBO,20.0,582.0,1.0,0.0,0.0,1.0,773.0,1.0171,5.0,24.0,59.0,45.0,58.0,182.0,2.7,66.0999984741211,47.6,0.0,0.0,0.0,0.0,,,Cardinia,1.72,0,0,0,0
2026-05-28 15:13:49,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
