Suburb,Crashes Since 2020,Population (2021 Census),Mobile,DDS,Fixed,Total,Median_Personal_Inc_Weekly,Gender_Ratio_M_F,Vehicles_0,Vehicles_1,Vehicles_2,Vehicles_3,Vehicles_4plus,Total_Vehicles,Percentage no vehicle,Lab_Force_Participation_Pct,Top_Non_AU_Ancestry_Pct,Tram Stops,V-Line Train,Bus Routes,Bus Stops.1,Metro Train,Train Lines,lgaregion,Cameras_Per_1000,Schools_Total,Schools_Govt,Schools_Primary,Schools_Secondary
PARKVILLE,0.0,7074.0,4.0,0.0,4.0,8.0,586.0,0.91,381.0,1203.0,431.0,80.0,32.0,2127.0,17.9,66.1999969482422,29.2,9.0,0.0,5.0,25.0,2.0,2.0,Moreland,1.13,2,2,0,1
POREPUNKAH,35.0,1024.0,4.0,0.0,0.0,4.0,787.0,0.9357,3.0,88.0,163.0,67.0,47.0,368.0,0.8,65.6999969482422,43.5,0.0,0.0,1.0,1.0,,,Alpine,3.91,1,1,1,0
ROWVILLE,437.0,33571.0,4.0,0.0,1.0,5.0,839.0,0.9711,247.0,2740.0,5101.0,1965.0,1259.0,11314.0,2.2,68.0,25.9,0.0,0.0,7.0,138.0,,,Knox,0.15,6,5,5,1
ROXBURGH PARK,0.0,24129.0,4.0,0.0,0.0,4.0,473.0,0.9863,214.0,1616.0,2527.0,1118.0,706.0,6183.0,3.5,51.5999984741211,7.8,0.0,0.0,7.0,59.0,1.0,1.0,Whittlesea,0.17,5,4,4,1
RYE,81.0,9438.0,4.0,2.0,0.0,6.0,702.0,1.0017,116.0,1306.0,1624.0,429.0,198.0,3669.0,3.2,50.2000007629395,41.3,0.0,0.0,3.0,70.0,,,Mornington Peninsula,0.64,1,1,1,0
SOUTH YARRA,752.0,25028.0,4.0,0.0,2.0,6.0,1395.0,0.9036,3614.0,6920.0,1945.0,326.0,132.0,12933.0,27.9,72.9000015258789,31.3,0.0,0.0,4.0,36.0,3.0,3.0,Melbourne,0.24,6,3,2,2
SPRINGVALE SOUTH,0.0,12766.0,4.0,0.0,0.0,4.0,559.0,0.9956,220.0,1196.0,1407.0,639.0,325.0,3787.0,5.8,56.0,23.3,0.0,0.0,6.0,48.0,,,Kingston (Vic.),0.31,4,3,3,1
ST ARNAUD,21.0,2318.0,4.0,0.0,0.0,4.0,560.0,0.9277,92.0,376.0,341.0,116.0,85.0,1014.0,9.1,47.7999992370606,44.6,0.0,0.0,1.0,3.0,,,Buloke,1.73,3,2,2,1
STRATHFIELDSAYE,61.0,6850.0,4.0,1.0,0.0,5.0,924.0,0.9684,15.0,476.0,1105.0,397.0,223.0,2219.0,0.7,70.5,44.5,0.0,0.0,2.0,46.0,,,Mount Alexander,0.73,2,1,2,0
SYDENHAM,91.0,10578.0,4.0,1.0,0.0,5.0,724.0,0.9878,162.0,1218.0,1266.0,490.0,287.0,3416.0,4.7,62.5,15.4,0.0,0.0,7.0,31.0,1.0,1.0,Brimbank,0.47,3,1,2,1
TAYLORS HILL,94.0,15419.0,4.0,0.0,0.0,4.0,796.0,0.9853,78.0,811.0,1993.0,804.0,549.0,4232.0,1.8,69.0,11.9,0.0,0.0,3.0,32.0,,,Brimbank,0.26,2,1,1,0
TOOLERN VALE,17.0,818.0,4.0,0.0,0.0,4.0,767.0,1.0685,0.0,31.0,87.0,50.0,92.0,267.0,0.0,60.0999984741211,35.6,0.0,0.0,0.0,0.0,,,Macedon Ranges,4.89,1,1,1,0
WHITE HILLS,0.0,3620.0,4.0,0.0,0.0,4.0,750.0,0.9184,78.0,574.0,540.0,156.0,106.0,1450.0,5.4,61.2000007629395,42.8,0.0,0.0,3.0,32.0,,,Greater Bendigo,1.1,2,1,2,0
WHITTLESEA,44.0,6117.0,4.0,0.0,0.0,4.0,719.0,0.9447,79.0,620.0,795.0,342.0,264.0,2095.0,3.8,58.7999992370606,40.5,0.0,0.0,4.0,25.0,,,Nillumbik,0.65,3,2,2,1
YAN YEAN,55.0,246.0,4.0,0.0,0.0,4.0,586.0,1.0331,0.0,10.0,34.0,19.0,18.0,85.0,0.0,48.0999984741211,35.4,0.0,0.0,2.0,10.0,,,Nillumbik,16.26,0,0,0,0
YARRAWONGA,71.0,8661.0,4.0,4.0,0.0,8.0,625.0,0.9434,171.0,1305.0,1340.0,384.0,216.0,3413.0,5.0,47.7999992370606,44.1,0.0,0.0,1.0,1.0,,,Moira,0.92,3,1,1,1
DANDENONG SOUTH,830.0,125.0,5.0,4.0,0.0,9.0,792.0,2.2368,21.0,32.0,15.0,5.0,4.0,69.0,30.4,58.7000007629395,31.2,0.0,0.0,5.0,87.0,,,Greater Dandenong,72.0,0,0,0,0
KURUNJANG,106.0,10711.0,4.0,1.0,0.0,5.0,702.0,0.9562,89.0,1064.0,1427.0,550.0,382.0,3516.0,2.5,61.9000015258789,29.9,0.0,0.0,4.0,37.0,,,Macedon Ranges,0.47,1,1,0,1
TARNEIT,1.0,56370.0,4.0,6.0,0.0,10.0,850.0,1.0372,373.0,5162.0,7004.0,1876.0,855.0,15267.0,2.4,69.5999984741211,27.0,0.0,1.0,10.0,150.0,,,Melton,0.18,13,8,7,3
ALBION,0.0,4334.0,3.0,0.0,0.0,3.0,708.0,1.1605,307.0,828.0,410.0,115.0,60.0,1729.0,17.8,58.9000015258789,19.1,0.0,0.0,6.0,19.0,1.0,1.0,Brimbank,0.69,2,1,2,0
ALTONA MEADOWS,281.0,18479.0,3.0,0.0,0.0,3.0,730.0,0.9375,408.0,2764.0,2689.0,766.0,405.0,7038.0,5.8,59.4000015258789,23.9,0.0,0.0,6.0,47.0,,,Wyndham,0.16,3,2,3,0
BALLAN,58.0,3392.0,3.0,0.0,0.0,3.0,733.0,0.9465,48.0,451.0,471.0,194.0,135.0,1299.0,3.7,60.4000015258789,42.2,0.0,1.0,0.0,0.0,,,Golden Plains,0.88,2,1,2,0
BARANDUDA,6.0,3041.0,3.0,3.0,0.0,6.0,942.0,0.8983,11.0,237.0,485.0,160.0,105.0,1000.0,1.1,64.5999984741211,43.1,0.0,0.0,1.0,3.0,,,Albury,1.97,2,1,2,0
BEACONSFIELD,291.0,7267.0,3.0,0.0,0.0,3.0,887.0,1.0014,74.0,557.0,980.0,458.0,314.0,2383.0,3.1,70.9000015258789,38.8,0.0,0.0,5.0,29.0,1.0,1.0,Casey,0.41,2,1,1,1
BEAUFORT,19.0,1712.0,3.0,1.0,0.0,4.0,575.0,1.0047,36.0,227.0,275.0,104.0,74.0,717.0,5.0,48.0999984741211,45.4,0.0,1.0,1.0,1.0,,,Ararat,2.34,2,2,1,1
BEVERIDGE,159.0,4642.0,3.0,2.0,0.0,5.0,978.0,1.0262,14.0,248.0,691.0,268.0,149.0,1378.0,1.0,72.6999969482422,25.9,0.0,0.0,1.0,9.0,,,Whittlesea,1.08,1,1,1,0
BITTERN,10.0,4276.0,3.0,0.0,0.0,3.0,725.0,0.9879,27.0,483.0,609.0,284.0,201.0,1603.0,1.7,59.2999992370606,48.5,0.0,0.0,1.0,8.0,1.0,1.0,Mornington Peninsula,0.7,1,1,1,0
BORONIA,0.0,23607.0,3.0,0.0,0.0,3.0,800.0,0.949,457.0,3595.0,3666.0,1040.0,461.0,9222.0,5.0,63.4000015258789,35.2,0.0,0.0,7.0,115.0,1.0,1.0,Knox,0.13,6,4,4,1
BROOKFIELD,157.0,10782.0,3.0,2.0,0.0,5.0,706.0,0.9729,154.0,983.0,1343.0,523.0,263.0,3267.0,4.7,60.7000007629395,24.0,0.0,0.0,4.0,24.0,,,Wyndham,0.46,2,1,1,0
BRUNSWICK WEST,0.0,14746.0,3.0,0.0,1.0,4.0,1004.0,0.9038,992.0,3457.0,1585.0,344.0,156.0,6532.0,15.2,72.1999969482422,27.9,8.0,0.0,7.0,74.0,,,Moreland,0.27,4,3,4,0
BULLA,12.0,668.0,3.0,1.0,0.0,4.0,726.0,1.0526,3.0,33.0,82.0,53.0,52.0,218.0,1.4,59.9000015258789,23.5,0.0,0.0,1.0,4.0,,,Hume,5.99,0,0,0,0
CAULFIELD SOUTH,0.0,12328.0,3.0,0.0,0.0,3.0,1074.0,0.9497,254.0,1671.0,1995.0,433.0,204.0,4558.0,5.6,66.0,21.6,39.0,0.0,4.0,36.0,,,Glen Eira,0.24,4,2,2,0
COBURG NORTH,91.0,8327.0,3.0,0.0,0.0,3.0,882.0,0.9707,323.0,1347.0,981.0,275.0,105.0,3027.0,10.7,64.8000030517578,23.6,2.0,0.0,5.0,54.0,2.0,1.0,Darebin,0.36,0,0,0,0
COHUNA,18.0,2415.0,3.0,1.0,0.0,4.0,594.0,0.9508,51.0,357.0,386.0,121.0,90.0,1013.0,5.0,46.2999992370606,45.1,0.0,0.0,1.0,1.0,,,Gannawarra,1.66,3,2,2,1
COLAC,41.0,9243.0,3.0,1.0,0.0,4.0,661.0,0.9455,376.0,1567.0,1254.0,390.0,179.0,3765.0,10.0,53.9000015258789,39.9,0.0,1.0,3.0,52.0,,,Colac Otway,0.43,7,5,4,2
CRANBOURNE,579.0,21281.0,3.0,0.0,0.0,3.0,707.0,1.0181,407.0,2525.0,2641.0,976.0,511.0,7066.0,5.8,60.0,27.7,0.0,0.0,14.0,72.0,1.0,1.0,Frankston,0.14,11,7,7,3
DEVON MEADOWS,171.0,1551.0,3.0,0.0,0.0,3.0,746.0,1.0818,4.0,85.0,153.0,110.0,132.0,475.0,0.8,58.7999992370606,32.6,0.0,0.0,3.0,19.0,,,Frankston,1.93,1,1,1,0
DIAMOND CREEK,102.0,12503.0,3.0,0.0,0.0,3.0,983.0,0.9708,75.0,854.0,1873.0,763.0,554.0,4121.0,1.8,72.5,40.4,0.0,0.0,7.0,43.0,1.0,1.0,Nillumbik,0.24,4,3,3,1
DONALD,14.0,1472.0,3.0,0.0,0.0,3.0,604.0,0.9811,33.0,205.0,225.0,76.0,47.0,589.0,5.6,48.2999992370606,43.1,0.0,0.0,1.0,2.0,,,Yarriambiack,2.04,3,2,2,1
DONCASTER,105.0,25020.0,3.0,0.0,2.0,5.0,719.0,0.9263,696.0,4348.0,3554.0,840.0,378.0,9822.0,7.1,57.0999984741211,36.6,0.0,0.0,16.0,111.0,,,Manningham,0.2,4,3,3,1
DONVALE,242.0,12644.0,3.0,0.0,0.0,3.0,769.0,0.9124,141.0,1220.0,1850.0,651.0,417.0,4277.0,3.3,59.2999992370606,24.6,0.0,0.0,8.0,58.0,,,Manningham,0.24,5,2,2,1
FOOTSCRAY,470.0,17131.0,3.0,1.0,2.0,6.0,916.0,1.0527,1545.0,3987.0,1362.0,252.0,98.0,7245.0,21.3,68.8000030517578,22.5,13.0,1.0,13.0,96.0,2.0,10.0,Maribyrnong,0.35,6,4,5,1
HAMPTON PARK,0.0,26082.0,3.0,1.0,1.0,5.0,668.0,1.0428,342.0,2378.0,3169.0,1231.0,642.0,7760.0,4.4,59.0,15.1,0.0,0.0,7.0,105.0,,,Casey,0.19,6,5,5,1
HASTINGS,86.0,10369.0,3.0,0.0,0.0,3.0,639.0,0.9124,274.0,1742.0,1431.0,427.0,230.0,4103.0,6.7,51.2000007629395,44.4,0.0,0.0,2.0,27.0,1.0,1.0,Mornington Peninsula,0.29,4,3,3,1
HEALESVILLE,130.0,7589.0,3.0,0.0,0.0,3.0,707.0,0.9114,100.0,948.0,1103.0,404.0,299.0,2855.0,3.5,56.9000015258789,46.0,0.0,0.0,3.0,37.0,,,Murrindindi,0.4,5,3,3,1
INVERLOCH,48.0,6526.0,3.0,0.0,0.0,3.0,703.0,0.9217,61.0,989.0,1195.0,269.0,109.0,2627.0,2.3,48.2999992370606,43.7,0.0,0.0,1.0,3.0,,,South Gippsland,0.46,1,1,1,0
IRONBARK,140.0,1163.0,3.0,1.0,1.0,5.0,696.0,0.9711,36.0,226.0,152.0,37.0,27.0,483.0,7.5,57.5,41.5,0.0,0.0,3.0,16.0,,,Greater Bendigo,4.3,0,0,0,0
JACKASS FLAT,19.0,1907.0,3.0,0.0,0.0,3.0,869.0,0.9127,7.0,171.0,314.0,98.0,44.0,631.0,1.1,72.1999969482422,39.6,0.0,0.0,1.0,9.0,,,Loddon,1.57,0,0,0,0
KALKALLO,0.0,5548.0,3.0,0.0,0.0,3.0,920.0,1.02,13.0,440.0,873.0,205.0,66.0,1600.0,0.8,71.5,20.1,0.0,0.0,1.0,17.0,,,Whittlesea,0.54,2,2,2,0
KANGAROO GROUND,70.0,1208.0,3.0,0.0,0.0,3.0,887.0,0.9787,0.0,43.0,123.0,73.0,91.0,334.0,0.0,65.0,39.6,0.0,0.0,1.0,12.0,,,Nillumbik,2.48,1,1,1,0
KINGS PARK,0.0,8203.0,3.0,0.0,0.0,3.0,479.0,0.9797,176.0,889.0,944.0,368.0,191.0,2572.0,6.8,48.2999992370606,24.0,0.0,0.0,4.0,29.0,,,Brimbank,0.37,2,1,2,0
KOORLONG,21.0,397.0,3.0,0.0,0.0,3.0,820.0,1.0309,0.0,19.0,54.0,27.0,25.0,120.0,0.0,68.3000030517578,37.8,0.0,0.0,0.0,0.0,,,Swan Hill,7.56,1,1,1,0
KYABRAM,90.0,7416.0,3.0,1.0,0.0,4.0,636.0,0.9663,176.0,1001.0,1063.0,411.0,272.0,2912.0,6.0,54.0999984741211,43.3,0.0,0.0,1.0,1.0,,,Moreland,0.54,2,1,0,0
KYNETON,39.0,7513.0,3.0,3.0,0.0,6.0,749.0,0.9281,139.0,931.0,1126.0,368.0,255.0,2829.0,4.9,57.2999992370606,43.2,0.0,1.0,5.0,33.0,,,Mitchell,0.8,4,2,2,2
LAKES ENTRANCE,39.0,5145.0,3.0,0.0,0.0,3.0,514.0,0.9649,154.0,911.0,732.0,211.0,80.0,2089.0,7.4,37.7999992370606,39.6,0.0,0.0,5.0,47.0,,,East Gippsland,0.58,3,2,2,1
LANG LANG,65.0,2556.0,3.0,2.0,0.0,5.0,811.0,0.9883,14.0,184.0,391.0,173.0,109.0,873.0,1.6,64.5999984741211,40.3,0.0,0.0,1.0,2.0,,,South Gippsland,1.96,1,1,1,0
LARA,54.0,19014.0,3.0,0.0,0.0,3.0,834.0,1.0875,160.0,1801.0,2728.0,990.0,618.0,6300.0,2.5,61.7999992370606,36.1,0.0,1.0,3.0,59.0,,,Greater Geelong,0.16,3,2,2,1
LONGWARRY,59.0,2436.0,3.0,0.0,0.0,3.0,733.0,0.9629,23.0,275.0,357.0,124.0,83.0,860.0,2.7,61.7999992370606,40.7,0.0,1.0,0.0,0.0,,,Cardinia,1.23,1,1,1,0
LOWER PLENTY,0.0,3962.0,3.0,0.0,0.0,3.0,955.0,0.9266,37.0,457.0,635.0,170.0,160.0,1457.0,2.5,61.5,37.2,0.0,0.0,3.0,13.0,,,Banyule,0.76,1,1,1,0
MAIDSTONE,0.0,9389.0,3.0,0.0,3.0,6.0,851.0,0.9846,353.0,1523.0,1185.0,297.0,117.0,3473.0,10.2,66.3000030517578,17.6,2.0,0.0,6.0,40.0,,,Brimbank,0.64,0,0,0,0
MERTON,15.0,216.0,3.0,0.0,0.0,3.0,582.0,1.2581,0.0,22.0,33.0,18.0,14.0,86.0,0.0,55.5,46.3,0.0,0.0,1.0,2.0,,,Murrindindi,13.89,0,0,0,0
MIDDLE PARK,0.0,4000.0,3.0,0.0,0.0,3.0,1430.0,0.9474,125.0,822.0,534.0,98.0,41.0,1618.0,7.7,64.4000015258789,36.4,15.0,0.0,1.0,11.0,,,Port Phillip,0.75,1,1,1,0
MILDURA SOUTH,0.0,,3.0,0.0,0.0,3.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,Swan Hill,,1,1,1,0
MOE,38.0,9375.0,3.0,0.0,0.0,3.0,541.0,0.9646,539.0,1724.0,1154.0,424.0,194.0,4030.0,13.4,45.0999984741211,37.4,0.0,1.0,8.0,58.0,,,Wellington,0.32,5,4,4,0
MONTMORENCY,99.0,9250.0,3.0,0.0,0.0,3.0,964.0,0.921,110.0,1276.0,1522.0,393.0,214.0,3520.0,3.1,66.3000030517578,39.9,0.0,0.0,5.0,30.0,1.0,1.0,Banyule,0.32,4,3,3,1
MONTROSE,6.0,6900.0,3.0,0.0,0.0,3.0,855.0,0.9658,77.0,517.0,995.0,419.0,297.0,2302.0,3.3,64.5999984741211,43.3,0.0,0.0,6.0,38.0,,,Yarra Ranges,0.43,2,2,2,0
MOOLAP,102.0,1825.0,3.0,0.0,0.0,3.0,630.0,0.9773,28.0,245.0,210.0,75.0,102.0,659.0,4.2,40.7000007629395,40.1,0.0,0.0,6.0,27.0,,,Greater Geelong,1.64,1,1,1,0
MORDIALLOC,48.0,8886.0,3.0,0.0,0.0,3.0,982.0,0.9026,252.0,1406.0,1330.0,331.0,143.0,3471.0,7.3,68.5999984741211,36.0,0.0,0.0,7.0,44.0,1.0,1.0,Kingston (Vic.),0.34,4,3,2,2
MORNINGTON,184.0,25759.0,3.0,0.0,2.0,5.0,740.0,0.8667,550.0,4093.0,4081.0,1066.0,558.0,10346.0,5.3,53.0,45.8,0.0,0.0,4.0,117.0,,,Mornington Peninsula,0.19,7,5,4,2
MOUNT DUNEED,169.0,6182.0,3.0,0.0,0.0,3.0,1029.0,0.9358,27.0,525.0,1111.0,283.0,147.0,2090.0,1.3,75.5999984741211,37.1,0.0,1.0,5.0,21.0,,,Greater Geelong,0.49,2,2,2,0
MOUNT MARTHA,148.0,19846.0,3.0,1.0,0.0,4.0,846.0,0.9191,149.0,1964.0,3252.0,1019.0,582.0,6963.0,2.1,60.5,47.6,0.0,0.0,4.0,79.0,,,Mornington Peninsula,0.2,2,2,2,0
MULGRAVE,0.0,19889.0,3.0,1.0,1.0,5.0,746.0,1.008,258.0,2032.0,3090.0,916.0,460.0,6759.0,3.8,61.0,17.0,0.0,0.0,19.0,110.0,,,Monash,0.25,5,3,3,2
MURCHISON,6.0,884.0,3.0,0.0,0.0,3.0,519.0,1.0514,12.0,122.0,137.0,57.0,38.0,370.0,3.2,49.5,41.2,0.0,0.0,1.0,2.0,,,Strathbogie,3.39,1,1,1,0
MYRTLEFORD,15.0,3285.0,3.0,2.0,0.0,5.0,653.0,0.9507,58.0,460.0,527.0,180.0,109.0,1337.0,4.3,54.2999992370606,36.6,0.0,0.0,1.0,2.0,,,Wangaratta,1.52,3,1,1,1
NEWCOMB,47.0,4704.0,3.0,0.0,0.0,3.0,672.0,0.8959,193.0,933.0,658.0,193.0,93.0,2069.0,9.3,57.5999984741211,39.9,0.0,0.0,6.0,37.0,,,Greater Geelong,0.64,3,2,2,1
NEWPORT,0.0,13658.0,3.0,0.0,0.0,3.0,1241.0,0.9434,273.0,2031.0,2032.0,404.0,177.0,4923.0,5.5,72.0999984741211,33.8,0.0,0.0,5.0,58.0,1.0,1.0,Hobsons Bay,0.22,4,2,4,0
NOBLE PARK NORTH,0.0,7436.0,3.0,0.0,1.0,4.0,596.0,1.0168,161.0,904.0,1025.0,315.0,177.0,2580.0,6.2,54.7999992370606,14.0,0.0,0.0,8.0,40.0,,,Greater Dandenong,0.54,2,1,1,1
ORBOST,11.0,2264.0,3.0,0.0,0.0,3.0,489.0,0.9747,70.0,411.0,323.0,95.0,42.0,940.0,7.4,40.4000015258789,40.5,0.0,0.0,1.0,1.0,,,East Gippsland,1.33,2,1,1,0
SANDRINGHAM,54.0,10926.0,3.0,0.0,0.0,3.0,1090.0,0.8907,282.0,1710.0,1643.0,392.0,185.0,4218.0,6.7,61.7000007629395,41.9,0.0,0.0,5.0,44.0,1.0,1.0,Bayside (Vic.),0.27,4,3,3,1
SEAFORD,472.0,17215.0,3.0,2.0,1.0,6.0,809.0,0.9608,518.0,2939.0,2662.0,662.0,284.0,7071.0,7.3,61.5999984741211,40.9,0.0,0.0,7.0,87.0,2.0,1.0,Frankston,0.35,8,7,6,1
SEASPRAY,1.0,373.0,3.0,0.0,0.0,3.0,507.0,1.185,6.0,54.0,57.0,27.0,18.0,160.0,3.8,48.2000007629395,38.6,0.0,0.0,0.0,0.0,,,Wellington,8.04,0,0,0,0
SKYE,240.0,8088.0,3.0,0.0,0.0,3.0,844.0,0.9703,56.0,678.0,1176.0,485.0,282.0,2674.0,2.1,71.6999969482422,38.3,0.0,0.0,2.0,12.0,,,Frankston,0.37,1,1,1,0
SOMERVILLE,88.0,11767.0,3.0,2.0,0.0,5.0,809.0,0.9328,130.0,1208.0,1773.0,652.0,504.0,4269.0,3.0,64.6999969482422,47.8,0.0,0.0,2.0,24.0,1.0,1.0,Casey,0.42,4,3,3,1
SPRING GULLY,37.0,3092.0,3.0,0.0,0.0,3.0,794.0,0.8877,81.0,478.0,489.0,148.0,72.0,1260.0,6.4,58.9000015258789,45.3,0.0,0.0,2.0,16.0,,,Greater Bendigo,0.97,0,0,0,0
STRATHMERTON,15.0,1072.0,3.0,2.0,0.0,5.0,662.0,1.0939,6.0,79.0,131.0,69.0,62.0,350.0,1.7,61.7999992370606,44.9,0.0,0.0,1.0,2.0,,,Moira,4.66,1,1,1,0
TOOTGAROOK,62.0,3178.0,3.0,0.0,0.0,3.0,656.0,0.9697,46.0,461.0,516.0,128.0,75.0,1230.0,3.7,53.5999984741211,39.2,0.0,0.0,2.0,28.0,,,Mornington Peninsula,0.94,1,1,1,0
TRAFALGAR,4.0,4349.0,3.0,0.0,0.0,3.0,728.0,0.9184,51.0,553.0,685.0,218.0,124.0,1636.0,3.1,57.0999984741211,43.5,0.0,1.0,0.0,0.0,,,Latrobe (Vic.),0.69,3,2,2,1
TYABB,97.0,3449.0,3.0,2.0,0.0,5.0,783.0,0.9777,21.0,291.0,521.0,211.0,191.0,1229.0,1.7,67.0,48.5,0.0,0.0,2.0,14.0,1.0,1.0,Mornington Peninsula,1.45,3,2,2,0
WANTIRNA SOUTH,37.0,20754.0,3.0,1.0,2.0,6.0,751.0,0.9287,363.0,2205.0,3084.0,1010.0,540.0,7200.0,5.0,61.5999984741211,28.7,0.0,0.0,13.0,132.0,,,Knox,0.29,7,2,3,0
WONTHAGGI,56.0,5215.0,3.0,2.0,0.0,5.0,515.0,0.898,249.0,1071.0,655.0,216.0,110.0,2305.0,10.8,41.5,43.1,0.0,0.0,1.0,4.0,,,Bass Coast,0.96,5,4,3,1
WOODSTOCK,34.0,150.0,3.0,0.0,0.0,3.0,671.0,1.1429,0.0,9.0,17.0,7.0,7.0,47.0,0.0,48.0999984741211,31.3,0.0,0.0,0.0,0.0,,,Whittlesea,20.0,0,0,0,0
WYNDHAM VALE,102.0,20518.0,3.0,0.0,0.0,3.0,787.0,0.9807,250.0,2507.0,2599.0,695.0,375.0,6426.0,3.9,65.5,22.8,0.0,0.0,4.0,63.0,,,Melton,0.15,4,4,3,0
YALLAMBIE,4.0,4161.0,3.0,0.0,0.0,3.0,1021.0,1.0687,34.0,372.0,637.0,199.0,73.0,1309.0,2.6,70.9000015258789,34.6,0.0,0.0,3.0,15.0,,,Darebin,0.72,1,1,1,0
YARRAMBAT,105.0,1602.0,3.0,0.0,0.0,3.0,867.0,1.0227,6.0,45.0,158.0,123.0,148.0,480.0,1.3,66.8000030517578,37.2,0.0,0.0,3.0,22.0,,,Nillumbik,1.87,1,1,1,0
BENTLEIGH,0.0,17921.0,2.0,0.0,0.0,2.0,990.0,0.9399,446.0,2746.0,2610.0,613.0,254.0,6665.0,6.7,68.3000030517578,26.5,0.0,0.0,7.0,52.0,2.0,1.0,Glen Eira,0.11,4,2,3,1
CHADSTONE,102.0,9552.0,2.0,2.0,1.0,5.0,880.0,1.0029,247.0,1433.0,1388.0,357.0,150.0,3567.0,6.9,66.0999984741211,19.0,0.0,0.0,4.0,28.0,,,Monash,0.52,1,0,0,1
DONCASTER EAST,21.0,30926.0,3.0,0.0,0.0,3.0,701.0,0.9295,458.0,3951.0,4608.0,1205.0,616.0,10839.0,4.2,59.0999984741211,38.0,0.0,0.0,15.0,130.0,,,Manningham,0.1,6,5,5,1
HALLAM,78.0,11355.0,3.0,2.0,1.0,6.0,602.0,1.0041,154.0,1199.0,1328.0,508.0,290.0,3480.0,4.4,54.2999992370606,14.2,0.0,0.0,7.0,58.0,1.0,1.0,Casey,0.53,2,2,1,1
OAKLEIGH,356.0,8442.0,2.0,1.0,1.0,4.0,865.0,0.9614,352.0,1356.0,1065.0,281.0,158.0,3211.0,11.0,66.0999984741211,21.0,0.0,0.0,15.0,59.0,2.0,1.0,Monash,0.47,3,1,2,0
THOMASTOWN,896.0,20234.0,2.0,0.0,1.0,3.0,502.0,1.0114,666.0,2903.0,2469.0,802.0,394.0,7237.0,9.2,49.9000015258789,13.8,5.0,0.0,8.0,112.0,2.0,1.0,Whittlesea,0.15,6,6,5,1
WEST FOOTSCRAY,0.0,11729.0,3.0,0.0,0.0,3.0,1003.0,1.032,535.0,2221.0,1376.0,283.0,112.0,4522.0,11.8,69.8000030517578,25.9,0.0,0.0,7.0,54.0,2.0,1.0,Brimbank,0.26,1,1,1,0
ALEXANDRA,13.0,2801.0,2.0,0.0,0.0,2.0,629.0,0.9444,61.0,478.0,421.0,167.0,97.0,1211.0,5.0,50.2999992370606,46.7,0.0,0.0,2.0,2.0,,,Murrindindi,0.71,3,2,2,1
ARDEER,105.0,3170.0,2.0,0.0,0.0,2.0,698.0,1.0211,99.0,489.0,356.0,115.0,57.0,1118.0,8.9,56.9000015258789,15.0,0.0,0.0,6.0,13.0,,,Brimbank,0.63,2,1,2,0
ARMADALE,0.0,9368.0,2.0,0.0,2.0,4.0,1354.0,0.8363,576.0,2208.0,1222.0,205.0,101.0,4312.0,13.4,69.0,34.6,94.0,0.0,2.0,25.0,2.0,1.0,Stonnington,0.43,3,1,1,0
AVONDALE HEIGHTS,0.0,12388.0,2.0,0.0,0.0,2.0,666.0,0.9489,298.0,1580.0,1743.0,524.0,274.0,4421.0,6.7,54.5,23.9,0.0,0.0,5.0,45.0,,,Moonee Valley,0.16,2,1,2,0
BALLARAT EAST,39.0,5937.0,2.0,0.0,0.0,2.0,636.0,0.8651,206.0,1216.0,758.0,226.0,112.0,2518.0,8.2,52.5999984741211,43.6,0.0,0.0,14.0,40.0,,,Ballarat,0.34,4,2,3,1
BALLARAT NORTH,0.0,4041.0,2.0,0.0,0.0,2.0,723.0,0.8804,154.0,664.0,641.0,192.0,70.0,1728.0,8.9,56.7999992370606,44.7,0.0,0.0,3.0,19.0,,,Ballarat,0.49,1,0,1,0
BALWYN NORTH,227.0,21302.0,2.0,0.0,1.0,3.0,854.0,0.963,292.0,2152.0,3082.0,1002.0,503.0,7032.0,4.2,61.0,32.0,9.0,0.0,12.0,95.0,,,Whitehorse,0.14,6,5,5,1
BANDIANA,14.0,855.0,2.0,2.0,0.0,4.0,1054.0,1.638,0.0,51.0,94.0,19.0,9.0,172.0,0.0,81.5,44.7,0.0,0.0,0.0,0.0,,,Albury,4.68,1,1,1,0
BANNOCKBURN,10.0,6470.0,2.0,0.0,0.0,2.0,845.0,1.0068,20.0,402.0,930.0,375.0,312.0,2038.0,1.0,68.0999984741211,41.3,0.0,0.0,2.0,3.0,,,Golden Plains,0.31,2,1,1,0
BARNAWARTHA NORTH,22.0,188.0,2.0,0.0,0.0,2.0,870.0,1.0638,0.0,7.0,20.0,13.0,25.0,60.0,0.0,65.5999984741211,52.1,0.0,0.0,0.0,0.0,,,Indigo,10.64,0,0,0,0
BATESFORD,20.0,1141.0,2.0,0.0,0.0,2.0,952.0,1.0592,0.0,24.0,146.0,78.0,81.0,335.0,0.0,71.3000030517578,35.8,0.0,0.0,2.0,2.0,,,Golden Plains,1.75,0,0,0,0
BAXTER,20.0,2166.0,2.0,0.0,0.0,2.0,774.0,0.9514,38.0,324.0,325.0,120.0,85.0,889.0,4.3,63.5,43.5,0.0,0.0,3.0,11.0,1.0,1.0,Frankston,0.92,1,1,1,0
